CODREL,NOME_RELATORIO,NIVEL,MODULO,SUBMODULO,PERMISSAO
77,Tabela de Frete Coleta/Entrega,OPERADOR,Faturamento,Cadastrais,1
79,Cadastro de Parceiros Comerciais,OPERADOR,Faturamento,Cadastrais,1
85,Contas Bancarias,OPERADOR,Bancos,Cadastrais,1
87,Tipos de Documentos,OPERADOR,Fluxo de Caixa,Cadastrais,1
88,Bens Ativos,CONTABILIDADE,Patrimonio,Cadastrais,1
89,Itens de Configuração,CONTABILIDADE,Patrimonio,Cadastrais,1
91,Razão Analítico,CONTABILIDADE,Contabilidade,Movimentação,1
106,Relação de Programação de Carga Detalhada,OPERADOR,Programacao,Movimentação,1
107,Relação de Programação de Veiculo por Cliente,OPERADOR,Programacao,Movimentação,1
110,Emissão de OST por Período,OPERADOR - FILIAL,Faturamento,Movimentação,1
111,Cotação,OPERADOR,Faturamento,Movimentação,1
112,Ordem de Coleta por Situação,OPERADOR,Faturamento,Movimentação,1
113,Relação de NF por período,OPERADOR,Faturamento,Movimentação,1
114,Danfe,OPERADOR,Faturamento,Movimentação,1
117,Extrato de Fechamento Terceiros,OPERADOR,Terceiros,Movimentação,1
123,Pedido de Compra,OPERADOR,Materiais,Movimentação,1
125,Relação de Apropriação Interna de Materiais,OPERADOR,Materiais,Movimentação,1
128,Posição Geral do Estoque,OPERADOR,Materiais,Movimentação,1
129,Inventário de Estoque,OPERADOR,Materiais,Movimentação,1
146,CT-e por Período,OPERADOR,Faturamento,Movimentação,1
147,Carregamentos por Cliente,OPERADOR,Faturamento,Movimentação,1
148,CT-e por Período Cancelados,OPERADOR,Faturamento,Movimentação,1
151,Movimentação por Filial,OPERADOR,Faturamento,Movimentação,1
154,Faturamento por Filiais,OPERADOR,Faturamento,Movimentação,1
155,Faturamento por Frota,OPERADOR,Faturamento,Movimentação,1
156,Faturamento por Período,OPERADOR,Faturamento,Movimentação,1
158,Indicadores de Faturamento,OPERADOR,Faturamento,Movimentação,1
162,Mão de Obra Funcionário,OPERADOR,Manutencao,Movimentação,1
164,Check List por Período,OPERADOR,Manutencao,Movimentação,1
165,Abertura de Ordem de Serviço,MANUTENÇÃO,Manutencao,Movimentação,0
166,Ordem de Serviço por Veículo,MANUTENÇÃO,Manutencao,Movimentação,0
167,Ordem de Serviço por Funcionário,OPERADOR,Manutencao,Movimentação,1
168,Ordem de Serviço Encerradas,OPERADOR,Manutencao,Movimentação,1
172,Planos de Manutenção,OPERADOR,Manutencao,Movimentação,1
176,Revisionais por Item,MANUTENÇÃO,Manutencao,Movimentação,0
180,Relação de Ordem de Serviço por Situação,OPERADOR,Manutencao,Movimentação,1
181,Saídas por Município,FISCAIS,Fiscal,Movimentação,0
182,Carta de Correção Eletrônica,OPERADOR - FILIAL,Fiscal,Movimentação,1
183,Conferencia de Entrada por Emissão,FISCAIS,Fiscal,Movimentação,0
184,Movimentação por Estado,FISCAIS,Fiscal,Movimentação,0
185,Movimentação de Saída por Origem e Destino,FISCAIS,Fiscal,Movimentação,0
186,Divergências de Saídas,FISCAIS,Fiscal,Movimentação,0
188,Listagem de Conferência de Entrada,FISCAIS,Fiscal,Movimentação,0
189,Listagem de Conferência de Saída,FISCAIS,Fiscal,Movimentação,0
192,Relatório Gerencial (Classificado),OPERADOR,Fluxo de Caixa,Movimentação,1
193,Posição dos Títulos a Receber,OPERADOR,Fluxo de Caixa,Contas a Receber,1
195,Relação de Faturas por CT-E,OPERADOR,Faturamento,Movimentação,1
197,Lançamento de Cursos e Licenças,OPERADOR,RH,Movimentação,1
200,Cursos de Motoristas a Vencer,OPERADOR,RH,Movimentação,1
201,Licenças de Veículos a Vencer,OPERADOR,RH,Movimentação,1
202,Carta de Advertência por Motorista,OPERADOR,RH,Movimentação,1
208,Documentos_contas_receber_por_vencimento,OPERADOR,Fluxo de Caixa,Contas a Receber,1
210,Documentos_Contas_Receber_por_emissao,OPERADOR,Fluxo de Caixa,Contas a Receber,1
213,Documento_Pagar_Emissao_Valor,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
214,Documento_Pagar_Vencimento_Geral,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
216,Documentos do Contas a Receber Total por Banco,OPERADOR,Fluxo de Caixa,Entradas,1
229,Relação de RNC Não Conformes,OPERADOR,CRM,Registro de Não Conformidade,1
234,Razão Analítico de Produtos,OPERADOR,Materiais,Movimentação,1
235,Contagem de Itens de Estoque,OPERADOR,Materiais,Movimentação,1
237,Imagem Esquemática,OPERADOR,Frota,Movimentação,1
239,Mapa Geral de Pneus,PNEUS,Frota,Pneus,1
240,Relação de Pneus Por Custo do Veiculo,OPERADOR,Frota,Pneus,1
241,Relação Pneus Por Status,OPERADOR,Frota,Pneus,1
242,Relação de Pneus do Retorno Ressolagem,OPERADOR,Frota,Pneus,1
243,Relaçãoo de Pneus por Situação,OPERADOR,Frota,Pneus,1
247,Relação de Pneus Descartados,OPERADOR,Frota,Pneus,1
248,Movimentação de Pneu por Veículo,OPERADOR,Frota,Pneus,1
251,Movimentação de Pneus para Conserto,OPERADOR,Frota,Pneus,1
254,Comparativo Mensal de Contas Patrimoniais,CONTABILIDADE,Contabilidade,Movimentação,1
255,Balancete com Agrupamento,CONTABILIDADE,Contabilidade,Movimentação,1
258,Lançamento por Lote,CONTABILIDADE,Contabilidade,Movimentação,1
259,Baixa Contas a Pagar Conferência Contas Parceiros,CONTABILIDADE,Contabilidade,Movimentação,1
260,Cadastro de Parceiros Comerciais para Excel,CONTABILIDADE,Contabilidade,Movimentação,1
261,Contas a Receber em Aberto - Conciliação Contábil,CONTABILIDADE,Contabilidade,Movimentação,1
266,CTRC em Aberto,CONTABILIDADE,Contabilidade,Movimentação,1
267,Diário Contábil,CONTABILIDADE,Contabilidade,Movimentação,1
268,Documentos a Pagar em Aberto - Contabilidade,CONTABILIDADE,Contabilidade,Movimentação,1
270,Documentos Contas a Pagar em Aberto,CONTABILIDADE,Contabilidade,Movimentação,1
272,Documentos Inconsistentes,CONTABILIDADE,Contabilidade,Movimentação,1
274,DRE,CONTABILIDADE,Contabilidade,Movimentação,1
276,DRE por Movimento Contábil Aberto,CONTABILIDADE,Contabilidade,Movimentação,1
277,DRE por Movimento Contábil,CONTABILIDADE,Contabilidade,Movimentação,1
278,Entradas Contas a Pagar - Gerencial,CONTABILIDADE,Contabilidade,Movimentação,1
281,Balancete Conferencia Movimento Mes,CONTABILIDADE,Contabilidade,Movimentação,1
284,Listagem DRE por Conta Contábil,CONTABILIDADE,Contabilidade,Movimentação,1
286,Movimento do Contas a Receber por Data de Emissão,CONTABILIDADE,Contabilidade,Movimentação,1
288,Movimento Tabela Lançamento Bancário,CONTABILIDADE,Contabilidade,Movimentação,1
289,Entradas do Contas a Pagar Pagos e Não Pagos,CONTABILIDADE,Contabilidade,Movimentação,1
292,Notas Fiscais de Entrada Sped Pis Cofins,CONTABILIDADE,Contabilidade,Movimentação,1
295,Plano de Contas x Aglutinador x Referencial,CONTABILIDADE,Contabilidade,Movimentação,1
296,Razão Analítico por Origem do Documento,CONTABILIDADE,Contabilidade,Movimentação,1
297,Razão com Parâmetro de Filial,CONTABILIDADE,Contabilidade,Movimentação,1
299,Relação de Produtos Sped Pis Cofins,CONTABILIDADE,Contabilidade,Movimentação,1
300,Relatório de Apuração Pis Cofins,CONTABILIDADE,Contabilidade,Movimentação,1
301,Relatório de Tarefas do Contas a Pagar p/ Excel,CONTABILIDADE,Contabilidade,Movimentação,1
302,Relatório de Tarefas de Lançamentos Bancários p/ Excel,CONTABILIDADE,Contabilidade,Movimentação,1
303,Relatório de Tarefas - Materiais p/ Excel,CONTABILIDADE,Contabilidade,Movimentação,1
305,Saldo Conta Referencial,CONTABILIDADE,Contabilidade,Movimentação,1
306,Abertura e Encerramento de ISS,FISCAIS,Fiscal,Movimentação,1
307,Apuração de ICMS Mensal,FISCAIS,Fiscal,Movimentação,0
310,Livro de Abertura e Encerramento,FISCAIS,Fiscal,Movimentação,0
312,Livro de Entradas,FISCAIS,Fiscal,Movimentação,0
313,Livro de Rateio de Entradas Interestaduais (Origem),FISCAIS,Fiscal,Movimentação,0
314,Livro de Rateio de Saídas Interestaduais (Destino),FISCAIS,Fiscal,Movimentação,0
315,Livro de Saídas,FISCAIS,Fiscal,Movimentação,0
316,Livro de Saídas com CNPJ/CPF Pagador,FISCAIS,Fiscal,Movimentação,0
317,Livro de Serviços Prestados Municipais,FISCAIS,Fiscal,Movimentação,0
318,Livro de Rateio de Saídas por Município - DIPAM,FISCAIS,Fiscal,Movimentação,0
320,Movimentação por CFOP,FISCAIS,Fiscal,Movimentação,0
321,Movimentação de Entrada de Estado Detalhado,FISCAIS,Fiscal,Movimentação,0
322,Movimentação de Saída por Estado CFOP,FISCAIS,Fiscal,Movimentação,0
323,Conferencia TMS Emissão CTE X Livros fiscais,OPERADOR,Fiscal,Movimentação,1
324,Balanço Patrimonial,CONTABILIDADE,Contabilidade,Movimentação,1
325,Conferencia retenções PCC,FISCAIS,Fiscal,Movimentação,0
327,Balanço Patrimonial auditoria,CONTABILIDADE,Contabilidade,Movimentação,1
329,Serviços Prestados por Município,FISCAIS,Fiscal,Movimentação,0
330,Registro Serviços Tomados,FISCAIS,Fiscal,Movimentação,0
331,Emissão NFS-e  PM Guarulhos,OPERADOR - FILIAL,Faturamento,Movimentação,1
332,Emissão NFS-e  PM Campinas,OPERADOR,Faturamento,Movimentação,1
333,Emissão NFS-e  PM Cubatão,OPERADOR,Faturamento,Movimentação,1
334,Emissão NFS-e  PM Rio de Janeiro,OPERADOR,Faturamento,Movimentação,1
335,Ordem de Serviço Veiculo por Situação,MANUTENÇÃO,Manutencao,Movimentação,0
337,Livro de Entrada - Detalhe fornecedor,OPERADOR,Fiscal,Livros Fiscais,1
338,Extrato Bancario,OPERADOR,Bancos,Movimentação Bancária,1
339,Nota de Débito,OPERADOR,Faturamento,Movimentação,1
340,Volta Pedido Pendente para Cadastrado,SUPER SIGILOSO,Materiais,Movimentação,0
341,Extrato de fechamento - Tributos,OPERADOR,Tributos,Movimentação,1
342,Ordem de Coleta ((Container)),OPERADOR - FILIAL,Faturamento,Movimentação,1
343,Emissão Ordem de Serviço de Transportes ((OST)),OPERADOR - FILIAL,Faturamento,Movimentação,1
344,Contratos de Fornecedores,OPERADOR,Fluxo de Caixa,Cadastrais,1
345,Autorização de Pagamento,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
346,Razao Contabil por Centro de Custos,OPERADOR,Contabilidade,Movimentação,1
347,Conferencia de retenções,OPERADOR,Fiscal,Movimentação,1
348,Emissao Contrato de Frete,OPERADOR - FILIAL,Faturamento,Movimentação,1
349,Relação de Contratos de Frete por periodo,OPERADOR - FILIAL,Faturamento,Movimentação,1
350,Relação de OST não Transferidas,OPERADOR - FILIAL,Faturamento,Movimentação,1
351,Relação de ACT não Transferidas,OPERADOR - FILIAL,Faturamento,Movimentação,1
352,CT-e Não Faturados Geral,OPERADOR - FILIAL,Faturamento,Movimentação,1
353,Log de Lotes Contábeis com diferença,OPERADOR,Contabilidade,Movimentação,1
355,Log Lotes Contábeis Erros,OPERADOR,Contabilidade,Movimentação,1
356,Relação CTe em Pre-fatura,OPERADOR - FILIAL,Faturamento,Movimentação,1
357,Produtividade da Frota,OPERADOR,Faturamento,Movimentação,1
358,CTe sem tabelas,OPERADOR,Utilitarios,Cadastrais,1
360,DRE por Unidade de Negocio,CONTABILIDADE,Contabilidade,Movimentação,1
361,Balancete Rateio,OPERADOR,Contabilidade,Movimentação,1
363,Balancete Detalhado,CONTABILIDADE,Contabilidade,Movimentação,1
365,Resumo Programação de Carga,OPERADOR,Faturamento,Movimentação,1
366,Emissão de Documentos por Empresa - Resumido.,OPERADOR,Faturamento,Movimentação,1
368,Emissão de Documentos por Cliente - Resumido.,OPERADOR,Faturamento,Movimentação,1
371,Viagens x Doc - Excel,OPERADOR - FILIAL,Faturamento,Movimentação,1
372,Emissão de Documentos por Centro de Custo - Resumido.,OPERADOR,Faturamento,Movimentação,1
373,Emissão de Documentos por Tipo de Frota - Resumido.,OPERADOR,Faturamento,Movimentação,1
382,Emissão de Documentos por Unid. Negocio - Detalhado,OPERADOR,Faturamento,Movimentação,1
383,Emissão de Documentos por Centro Gasto - Detalhado,OPERADOR,Faturamento,Movimentação,1
385,Contas à Pagar por Vencimento / Fornecedor,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
386,Contas à Pagar por Vencimento / Empresa,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
387,Contas à Pagar por Vencimento / Filial,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
392,Contas à Pagar por Vencimento / Classif. Analítica,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
393,Contas à Pagar Pagos por Fornecedor,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
394,Contas à Pagar Pagos por Empresa,TI - SISTEMAS,Fluxo de Caixa,Contas a Pagar,1
395,Contas à Pagar Pagos por Filial,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
398,Contas à Pagar Pagos por Classif. Sintetica,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
399,Contas à Pagar Pagos por Classif. Analitico,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
403,Contas à Receber por Vencimento / Unid. Negocio,OPERADOR,Fluxo de Caixa,Contas a Receber,1
407,Contas à Receber por Pagos / Filial,OPERADOR,Fluxo de Caixa,Contas a Receber,1
409,Contas à Receber por Pagos / Centro de Gasto,OPERADOR,Fluxo de Caixa,Contas a Receber,1
410,Contas à Receber por Pagos / Centro de Custo,OPERADOR,Fluxo de Caixa,Contas a Receber,1
411,Emissão Itinerário por Rota (Por Romaneio),OPERADOR,Faturamento,Movimentação,1
416,Relação de Programação de Carga,OPERADOR,Programacao,Movimentação,1
417,Relação de Programação de Veículo,OPERADOR,Programacao,Movimentação,1
418,Resumo de Programações de Carga por Cliente Diario,OPERADOR,Programacao,Movimentação,1
419,Resumo de Programações de Veículo por Cliente Diario,OPERADOR,Programacao,Movimentação,1
420,Resumo de CT-e(s) por Cliente Diario,OPERADOR,Faturamento,Movimentação,1
421,Resumo de OST(s) por Cliente Diario,OPERADOR,Faturamento,Movimentação,1
422,Resumo de NFS-e(s) por Cliente Diario,OPERADOR,Faturamento,Movimentação,1
423,Relação de Cursos por Motorista,OPERADOR,Frota,Movimentação,1
424,Relação de Cursos Vencidos/A Vencer por Curso,OPERADOR,Frota,Movimentação,1
425,Relação de Cursos Vencidos/A Vencer por Motorista,OPERADOR,Frota,Movimentação,1
426,Relação de Ficha de Tráfego por Motorista,OPERADOR,Frota,Movimentação,1
427,Acerto de Contas,OPERADOR,Frota,Movimentação,1
428,Relacao de Faturas Emitidas por Filial,OPERADOR,Faturamento,Movimentação,1
429,Exportação Abastecimento Externo Contabil,CONTABILIDADE,Contabilidade,Movimentação,1
431,Licenças de Veículos a Vencer,OPERADOR,Frota,Movimentação,1
434,Relatorio de Pedido por Grupo de Produto,OPERADOR,Materiais,Movimentação,1
438,Lançamento por Tipo Bancário,OPERADOR,Contabilidade,Movimentação,1
439,Resultado Consolidado,CONTABILIDADE,Contabilidade,Movimentação,1
444,Relacao Ativo Imobilizado,CONTABILIDADE,Patrimonio,Cadastrais,1
445,Conferencia Depreciacao Ativo Mensal (Depreciação Contábil Lei11638),CONTABILIDADE,Patrimonio,Cadastrais,1
446,Balancete Acumulado Anual,CONTABILIDADE,Contabilidade,Movimentação,1
448,Romaneio de Carregamento,OPERADOR,Faturamento,Movimentação,1
449,Romaneio de Descarga,OPERADOR - FILIAL,Faturamento,Movimentação,1
450,Emissão Itinerário por Rota (Por Manifesto),OPERADOR - FILIAL,Faturamento,Movimentação,1
451,Relação de CTE`s,OPERADOR - FILIAL,Faturamento,Movimentação,1
452,Diário Contábil - Excel,CONTABILIDADE,Contabilidade,Movimentação,1
454,Listagem Contabil Completa,CONTABILIDADE,Contabilidade,Movimentação,1
456,Romaneio Novelis,OPERADOR,Faturamento,Movimentação,1
458,Emissão ROC - Indicado 01 Composição,OPERADOR - FILIAL,Faturamento,Movimentação,1
459,Conferencia Depreciacao Ativo Anual (Depreciação Contábil Lei11638),CONTABILIDADE,Patrimonio,Cadastrais,1
460,Conferencia Financeiro Ativo (DEP. Societária),CONTABILIDADE,Patrimonio,Cadastrais,1
461,BASE PROVISÃO - JOHN DEER,OPERADOR - FILIAL,Faturamento,Movimentação,1
462,Relatório Auditoria de Frete,OPERADOR - FILIAL,Faturamento,Operacional - Filial,1
463,Faturamento V6,SUPERVISOR,Faturamento,Movimentação,0
464,Relação de Lançamentos Bancarios,ADMINISTRATIVO,Bancos,Movimentação Bancária,1
467,Relação de Acessos de Usuários,TI - SISTEMAS,Utilitarios,Cadastrais,1
469,Relação de Ocorrencia por NF,OPERADOR,Faturamento,Movimentação,1
470,Emissão OCC (( FORMULARIO )),OPERADOR - FILIAL,Faturamento,Movimentação,1
471,Adiantamentos ADF,OPERADOR,Fluxo de Caixa,Movimentação,1
472,Balancete Acumulado Anual,CONTABILIDADE,Contabilidade,Movimentação,1
473,Log Rateio por Manifesto,OPERADOR,Faturamento,Movimentação,1
475,Conferencia Contabil,OPERADOR,Contabilidade,Movimentação,1
476,Relatorio Faturamento por Filial de Atendimento,OPERADOR,Faturamento,Movimentação,1
477,Tabela de Região,OPERADOR,Faturamento,Movimentação,1
478,Auditoria de Comprovantes,OPERADOR,Faturamento,Movimentação,1
479,Manifestos Pendentes de Baixa e/ou Encerramento,OPERADOR - FILIAL,Faturamento,Movimentação,1
481,Relação de Contas a Receber Origem Manual,OPERADOR,Fluxo de Caixa,Movimentação,1
482,Relação de Custo Manutenção por Pedido,OPERADOR,Manutencao,Movimentação,1
483,Relatório de Frete John Deere,OPERADOR,Faturamento,Movimentação,1
484,Checklist Faturas MAN,OPERADOR,Faturamento,Movimentação,1
485,Conferência Numeração CTe,OPERADOR,Fiscal,Livros Fiscais,1
486,CTe Inutilizados,OPERADOR,Fiscal,Livros Fiscais,1
487,Relação de Cte`s Comercial,OPERADOR,Faturamento,Movimentação,1
490,Relação de Ctes com Baixa Banco 997 e 999,OPERADOR,Faturamento,Movimentação,1
491,Relação NF X CTE X Fatura,OPERADOR,Faturamento,Movimentação,1
494,Relação de OS / Pedido,OPERADOR,Manutencao,Movimentação,1
495,Produtividade Faturamento por Unidade de Negócio,OPERADOR,Faturamento,Movimentação,1
496,Relação Contas a Pagar Completo - Excel (Em teste),OPERADOR,Fluxo de Caixa,Movimentação,1
498,Ponto Motorista,OPERADOR,Frota,Movimentação,1
499,Carta Advertência por Motorista,OPERADOR,Frota,Movimentação,1
500,Carta Advertência por Veículos,OPERADOR,Frota,Movimentação,1
501,Relatorio Proprietario / Motorista Startruck,OPERADOR,Frota,Cadastrais,1
502,Relatório Startruck,OPERADOR,Frota,Movimentação,1
503,Relação de Sub-Produtos PC,OPERADOR,Faturamento,Movimentação,1
504,Situação de Documentos Faturados (Documentos Antigos - Temporario),OPERADOR,Fluxo de Caixa,Contas a Receber,1
506,Auditoria Contratos,OPERADOR,Faturamento,Movimentação,1
507,Estoque Produtos Geral,OPERADOR,Materiais,Movimentação,1
508,Relação Docs Mirassol (CTE/OST/NF),OPERADOR,Faturamento,Movimentação,1
509,Libera Acesso Botões CTRB,SUPER SIGILOSO,Utilitarios,Cadastrais,0
510,Relatorio KPI CTe / NF Cancelados (MACRO),OPERADOR,Faturamento,Movimentação,1
511,Lista Parceiros Comerciais,OPERADOR,Materiais,Cadastrais,1
512,Relatorio KPI Contrato x DOC,OPERADOR,Faturamento,Movimentação,1
513,Relatorio KPI CTe / NF Efetivos (MACRO),OPERADOR,Faturamento,Movimentação,1
514,Relatorio KPI Faturamento,OPERADOR,Faturamento,Movimentação,1
516,Protocolo de Entrega,OPERADOR,Utilitarios,Cadastrais,1
517,Protocolo de Entrega MAN,OPERADOR,Utilitarios,Cadastrais,1
519,TEMPO EMISSÃO,OPERADOR,Faturamento,Movimentação,1
520,Relação NF X CTE X Fatura X Pré Fatura,OPERADOR,Faturamento,Movimentação,1
521,Relação de Pedidos de Compra,OPERADOR,Materiais,Movimentação,1
522,Relatorio Diario de Bordo,OPERADOR,Faturamento,Movimentação,1
523,Relatorio Notas Fiscais John Deere,OPERADOR - FILIAL,Faturamento,Movimentação,1
524,Relatorio Diario de Bordo FLEXTRONICS,OPERADOR,Faturamento,Movimentação,1
525,Controle de Jornada,OPERADOR,Frota,Movimentação,1
526,Relatório de Fretes,OPERADOR,Faturamento,Movimentação,1
529,REINF - Bloco 2010,OPERADOR,Fiscal,Livros Fiscais,1
530,REINF - Bloco 2020,OPERADOR,Fiscal,Livros Fiscais,1
532,Faturamento Gestao de Rateio,OPERADOR - FILIAL,Faturamento,Cadastrais,1
534,NF-e envio Cliente,OPERADOR,Faturamento,Movimentação,1
535,Emissão ROC Coleta,OPERADOR - FILIAL,Faturamento,Movimentação,1
536,KPI Coletas,OPERADOR - FILIAL,Faturamento,Movimentação,1
537,Relação de Coletas (OST) não baixadas (MACRO),OPERADOR - FILIAL,Faturamento,Movimentação,1
538,Relação Manifestos X Cte,OPERADOR - FILIAL,Faturamento,Movimentação,1
539,STANDART TEMPLATE,OPERADOR - FILIAL,Faturamento,Movimentação,1
540,Relação Docs Comercial,OPERADOR,Comercial,Cadastrais,1
542,CONTRATOS RODOPAR X CONTRATOS REPOM/RODOCRED PENDENTES DE ENVIO,OPERADOR,Faturamento,Movimentação,1
543,Plano de Contas,OPERADOR,Contabilidade,Cadastrais,1
545,Situação de Documentos Faturados Baixa por Aviso,OPERADOR,Contabilidade,Movimentação,1
546,Exclui Nota Fiscal OST,GERENTE,Faturamento,Movimentação,0
547,PRÉ FATURA FLEX,OPERADOR,Faturamento,Movimentação,1
548,Movimentação Entrada e Saída WMS,OPERADOR,WMS - Armazenagem,Movimentações,1
549,Inventário WMS,OPERADOR,WMS - Armazenagem,Movimentações,1
550,Livro Entrada,OPERADOR,WMS - Armazenagem,Movimentações,1
551,Livro Saída,OPERADOR,WMS - Armazenagem,Movimentações,1
552,ETIQUETA UAM,OPERADOR,WMS - Armazenagem,Movimentações,1
553,Relatorio Emissão Geral JD,OPERADOR,Faturamento,Movimentação,1
555,Relação de Código de Horário,OPERADOR,Programacao,Cadastrais,1
556,Relatório Auditoria (Em Teste),OPERADOR,Faturamento,Movimentação,1
558,Emissão Ordem de Coleta,OPERADOR,Faturamento,Movimentação,1
559,CONTROLE ORCAMENTARIO,OPERADOR,Fluxo de Caixa,Previsão Orçamentária,1
560,Acompanhamento Ciclo Carga,OPERADOR,Programacao,Movimentação,1
561,Relação de Programação de Carga (Excel),OPERADOR,Faturamento,Movimentação,1
562,Relação de Motoristas,OPERADOR,Faturamento,Movimentação,1
563,Veiculos para Revisão por Item Revisionais,OPERADOR,Manutencao,Movimentação,1
565,REINF BLOCO 2060,OPERADOR,Fiscal,Livros Fiscais,1
566,Relação de Pneus Completa,OPERADOR,Materiais,Cadastrais,1
567,EMISSAO DACTE - QRCODE,OPERADOR,Faturamento,Movimentação,1
568,Ocorrencias por Manifestos (EXCEL),OPERADOR,Faturamento,Movimentação,1
569,Relatorio de Deslocamento de Vazio po Placa,OPERADOR,Frota,Movimentação,1
570,Esquematica Completa,OPERADOR,Frota,Movimentação,1
572,LIVRO CIAP,OPERADOR,Patrimonio,Cadastrais,1
574,Relação de OS Entrada por Contrato,OPERADOR,WMS - Armazenagem,Movimentações,1
575,Relação de OS Saída por Contrato,OPERADOR,WMS - Armazenagem,Movimentações,1
576,Conferencias Pendentes de UA,OPERADOR,WMS - Armazenagem,Movimentações,1
577,Documentos Aguardando Conferencia de UA,OPERADOR,WMS - Armazenagem,Movimentações,1
578,Documentos Aguardando Endereçamento de UA,OPERADOR,WMS - Armazenagem,Movimentações,1
580,Saldo Produtos por Endereço,OPERADOR,WMS - Armazenagem,Movimentações,1
581,Relação de tabela de frete por agregado (detalhada),OPERADOR,Faturamento,Cadastrais,1
582,Relação de tabelas de frete por manifesto,OPERADOR,Faturamento,Cadastrais,1
583,Remessa Contas a Pagar,OPERADOR,Fluxo de Caixa,Contas a Pagar,1
584,Relatório de Fretes Romaneio de Descarga,OPERADOR,Faturamento,Movimentação,1
585,Conferencia Depreci. Ativo Anual NOVO (Depreciação Contábil Lei11638),OPERADOR,Patrimonio,Cadastrais,1
588,Comissão Motorista,OPERADOR,Frota,Viagens,1
589,Tabelas de agregados,OPERADOR,Faturamento,Cadastrais,1
590,Tabelas por Manifesto,OPERADOR,Faturamento,Cadastrais,1
591,Relatório Auditoria filtro por contrato,OPERADOR,Faturamento,Movimentação,1
592,Gera Lançamento Viagem Comissão,OPERADOR,Frota,Viagens,1
593,Resumo Comissão Motorista,OPERADOR,Frota,Viagens,1
595,Acompanhamento de Ocorrencias por Viagem,OPERADOR,Programacao,Movimentação,1
